Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,
103,60127,Call,Google,No,No,0,12,240,4,Call Received,Iran,Vinay Laser Art,Online Search,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kakinada,02.Medium,01.High,13,18,No,No,Call Received,
104,60118,Call,Direct Traffic,No,No,0,2,30,2,Call Received,Iraq,ET CNC Router,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kallur,02.Medium,02.Medium,14,15,No,Yes,Call Received,
105,60127,Call,Google,No,No,0,5,30,5,Call Received,Ireland,At Lasers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kalyandurg,02.Medium,02.Medium,15,15,No,No,Call Received,
106,60136,Call,Organic Search,No,No,0,6,30,6,Call Received,Israel,Creative Engineering Industries,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kamalapuram,02.Medium,02.Medium,14,16,No,Yes,Call Received,
107,60136,Call,Google,No,No,0,9,30,3,Call Received,Italy,Jinam Arts,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kamareddi,02.Medium,02.Medium,14,15,No,No,Call Received,
108,60137,Call,Google,No,No,1,3,30,3,Call Received,Jamaica,Prajwal Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kanapaka,02.Medium,02.Medium,15,15,No,No,Call Received,
109,60130,Call,Google,No,No,1,6,420,3,Call Received,Japan,Shri Vishnu Enterprises,Student of SomeSchool,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kanigiri,02.Medium,02.Medium,15,15,No,Yes,Call Received,
110,60130,Call,Organic Search,No,No,1,3,240,3,Call Received,Jersey,B.S.K.Stars,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kanithi,02.Medium,02.Medium,13,15,No,No,Call Received,
111,60135,Call,Organic Search,No,No,1,6,60,6,Call Received,Jordan,Raj Fine Arts,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kankipadu,02.Medium,01.High,14,18,No,Yes,Call Received,
112,60130,Call,Google,No,No,0,4,30,4,Call Received,Kazakhstan,Hylax India Pvt Ltd,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kantabamsuguda,02.Medium,01.High,13,18,No,No,Call Received,
113,60051,Call,Reference,No,No,1,0,30,0,Call Received,Kenya,print tech system,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kanuru,02.Medium,01.High,14,19,No,No,Call Received,
114,60051,Call,Direct Traffic,No,No,1,5,480,5,Call Received,Kiribati,Hytech Engineers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Karnul,03.Low,02.Medium,11,15,No,No,Call Received,
115,60051,Call,Google,No,No,2,5,60,5,Call Received,Korea North,Laser Inox,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Katheru,02.Medium,02.Medium,14,15,No,No,Call Received,
116,60051,Call,Google,No,No,1,8,60,4,Call Received,Korea South,Shree chemical & Engineering works,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kavali,02.Medium,02.Medium,13,15,No,No,Call Received,
117,60135,Call,Organic Search,No,No,1,4,180,1.33,Call Received,Kuwait,M V Enterprises,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kazipet,02.Medium,02.Medium,13,15,No,No,Call Received,
118,60082,Call,Google,No,No,1,2,1380,2,Call Received,Kyrgyzstan,vighnaharta industries,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Khanapuram Haveli,02.Medium,02.Medium,15,14,No,No,Call Received,
119,60082,Call,Referral Sites,No,No,1,10,1320,3.33,Call Received,Laos,Shree Sai Engeering,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kodar,02.Medium,02.Medium,15,13,No,No,Call Received,
120,60082,Call,Organic Search,No,No,1,3,30,3,Call Received,Latvia,Krishna Engineering Works,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kollapur,02.Medium,02.Medium,14,15,No,No,Call Received,
121,60082,Call,Reference,No,No,1,,30,,Call Received,Lebanon,khan engineering works,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Kondapalem,02.Medium,01.High,14,18,No,No,Call Received,
122,60082,Call,Google,No,No,0,8,60,4,Call Received,Lesotho,Vanita Engineering Works,Online Search,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kondapalle,02.Medium,01.High,14,18,No,No,Call Received,
123,60082,Call,Organic Search,No,No,0,3,30,1.5,Call Received,Liberia,Buddh Engineering Works,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kondukur,01.High,02.Medium,16,15,No,No,Call Received,
124,60082,Call,Google,No,No,0,2,60,1,Call Received,Libya,Supreme Enterprises (workshop),,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kosgi,01.High,02.Medium,16,15,No,No,Call Received,
125,60082,Call,Google,No,No,0,4,60,4,Call Received,Liechtenstein,Swapna Engineering Works,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kothavalasa,03.Low,01.High,12,18,No,Yes,Call Received,
126,60082,Call,Referral Sites,No,No,0,16,60,16,Call Received,Lithuania,Kamal Engineers,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kottapalli,02.Medium,02.Medium,15,13,No,No,Call Received,
127,60082,Call,Direct Traffic,No,No,3,1,420,1,Call Received,Luxembourg,Highway Cleaning Works,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Kovur,01.High,01.High,16,18,No,Yes,Call Received,
128,60082,Call,Organic Search,No,No,0,5,30,5,Call Received,Macau S.A.R.,Nitin dry cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kovurpalle,02.Medium,01.High,15,18,No,Yes,Call Received,
129,60082,Call,Google,No,No,0,4,420,4,Call Received,Macedonia,Thakur Cleaners,Multiple Sources,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kovvur,02.Medium,01.High,13,18,No,No,Call Received,
130,60082,Call,Google,No,No,0,2,420,1,Call Received,Madagascar,The Landry Room,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Krishna,01.High,02.Medium,16,15,No,No,Call Received,
131,60051,Call,Reference,No,No,0,0,360,0,Call Received,Malawi,veena vihar,Select,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kuppam,02.Medium,01.High,15,19,No,No,Call Received,
132,60082,Call,Google,No,No,0,1,660,1,Call Received,Malaysia,Vinit Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kurmannapalem,02.Medium,02.Medium,14,14,No,No,Call Received,
133,60082,Call,Google,No,No,0,2,3600,2,Call Received,Maldives,nirmal dry cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kurnool,03.Low,02.Medium,11,15,No,No,Call Received,
134,60082,Call,Reference,No,No,0,,240,,Call Received,Mali,New Light Of India Laundry Services,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Lakshettipet,02.Medium,01.High,14,19,No,No,Call Received,
135,60082,Call,Welingak Website,No,No,0,,1200,,Call Received,Malta,Anupam Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Lalbahadur Nagar,02.Medium,02.Medium,14,15,No,No,Call Received,
136,60082,Call,Google,No,No,0,5,240,5,Call Received,Man (Isle of),Indian Express Laundry & Dry Cleaners,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Machavaram,02.Medium,01.High,13,20,No,No,Call Received,
137,60082,Call,Direct Traffic,No,No,0,4,30,4,Call Received,Marshall Islands,Kajal Dyers & Dry Cleaners,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Macherla,02.Medium,02.Medium,14,16,No,Yes,Call Received,
138,60125,SMS,Reference,No,No,0,0,10,0,SMS Open,Martinique,New National Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Machilipatnam,02.Medium,02.Medium,15,16,No,No,SMS Open,
139,60135,Call,Google,No,No,0,1,30,1,Call Received,Mauritania,Nilesh Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Madanapalle,01.High,02.Medium,16,15,No,No,Call Received,
140,60125,SMS,Referral Sites,No,No,0,7,10,3.5,SMS Open,Mauritius,Pawar laundry,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Madaram,02.Medium,02.Medium,14,14,No,Yes,SMS Open,
141,60125,SMS,Google,No,No,0,5,10,5,SMS Open,Mayotte,Popular Cleaners,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Madhuravada,02.Medium,01.High,14,17,No,No,SMS Open,
142,60141,Call,Referral Sites,No,No,0,6,30,2,Call Received,Mexico,Super dry,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Madikonda,02.Medium,02.Medium,14,13,No,No,Call Received,
143,60051,Call,Google,No,No,3,5,1680,5,Call Received,Micronesia,Supreme Cleaners,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Madugule,02.Medium,01.High,14,20,No,No,Call Received,
144,60141,Call,google,No,No,0,7,1260,3.5,Call Received,Moldova,Akash Dry Cleaners,Multiple Sources,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mahabubnagar,02.Medium,02.Medium,14,13,No,No,Call Received,
145,60141,Call,Google,No,No,0,2,780,2,Call Received,Monaco,Sai Darshan Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mahbubabad,03.Low,02.Medium,12,15,No,No,Call Received,
146,60141,Call,Google,No,No,0,2,240,2,Call Received,Mongolia,Kunal Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Malkajgiri,02.Medium,02.Medium,13,15,No,No,Call Received,
147,60098,Call,Direct Traffic,No,No,0,3,30,3,Call Received,Montserrat,Asha Laundry,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mamilapalle,02.Medium,02.Medium,13,14,No,Yes,Call Received,
148,60098,Call,Google,No,No,0,5,120,1.67,Call Received,Morocco,Drymans Dry Cleaners,Word Of Mouth,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mancheral,02.Medium,01.High,14,18,No,No,Call Received,
149,60098,Call,Google,No,No,0,5,720,2.5,Call Received,Mozambique,Suraj Washing Laundary,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mandapeta,02.Medium,02.Medium,13,16,No,No,Call Received,
150,60098,SMS,Direct Traffic,No,No,0,2,10,2,SMS Open,Myanmar,Deluxe Dryers & Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mandasa,02.Medium,02.Medium,14,13,No,Yes,SMS Open,
151,60142,Call,Organic Search,No,No,0,5,20,5,Call Received,Namibia,Bright Dyers & Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mangalagiri,02.Medium,01.High,15,19,No,Yes,Call Received,
152,60098,Email,Direct Traffic,No,No,0,1,15,1,Email Open,Nauru,Blue Angel Dry Cleaners & Dyers,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Manthani,02.Medium,02.Medium,14,14,No,Yes,Email Open,
153,60098,Email,Direct Traffic,No,No,0,2,15,1,Email Open,Nepal,Azad Hind Dry Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Markapur,02.Medium,01.High,15,18,No,Yes,Email Open,
154,60143,SMS,Direct Traffic,No,No,0,3,10,3,SMS Open,Netherlands Antilles,New Metro Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Marturu,02.Medium,01.High,13,17,No,Yes,SMS Open,
155,60098,Email,Organic Search,No,No,0,8,15,4,Email Open,Netherlands The,Laundromat Dry Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Metpalli,01.High,01.High,16,18,No,Yes,Email Open,
156,60098,Email,Google,No,No,1,2,15,2,Email Open,New Caledonia,Greens Laundry,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Mindi,03.Low,02.Medium,12,15,No,No,Email Open,
157,60098,Email,Referral Sites,No,No,0,4,15,2,Email Open,New Zealand,Neeta Kumar Power Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mirpet,02.Medium,02.Medium,13,13,No,No,Email Open,
158,60144,Call,Direct Traffic,No,No,0,4,30,2,Call Received,Nicaragua,Bright Cleaners,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Moragudi,02.Medium,01.High,14,18,No,No,Call Received,
159,60145,Call,Direct Traffic,No,No,0,2,30,2,Call Received,Niger,Regal Cleaning Centre,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Mothugudam,02.Medium,02.Medium,14,13,No,Yes,Call Received,
160,60098,Email,Organic Search,No,No,0,7,15,2.33,Email Open,Nigeria,SRK Laundry Pvt Ltd,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Nagari,02.Medium,02.Medium,14,15,No,No,Email Open,
161,60098,Email,Direct Traffic,No,No,0,3,15,3,Email Open,Niue,White Wash1,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Nagireddipalle,02.Medium,02.Medium,15,16,No,Yes,Email Open,
162,60098,Email,Olark Chat,No,No,1,10,15,3.33,Email Open,Norfolk Island,Jawahar Loundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Nandigama,02.Medium,01.High,15,17,No,Yes,Email Open,
163,60098,Email,Direct Traffic,No,No,1,2,15,2,Email Open,Northern Mariana Islands,Mayfair Dry Clean Service,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Nandikotkur,02.Medium,02.Medium,14,16,No,Yes,Email Open,
164,60098,Email,Direct Traffic,No,No,,3,15,1.5,Email Open,Norway,Om Sai Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Nandyal,02.Medium,02.Medium,14,16,No,Yes,Email Open,
165,60145,Call,Google,No,No,,6,30,6,Call Received,Oman,Wash n wear,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Narasannapeta,02.Medium,01.High,14,20,No,No,Call Received,
166,60098,Email,Organic Search,No,No,,10,15,5,Email Open,Pakistan,The Light Laundry,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Narasapur,02.Medium,02.Medium,13,15,No,No,Email Open,
167,60098,Email,Organic Search,No,No,,1,15,1,Email Open,Palau,Jitendra Dry Cleaners & Power Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Narasaraopet,02.Medium,02.Medium,14,15,No,No,Email Open,
168,60098,Email,Google,No,No,,2,15,2,Email Open,Palestinian Territory Occupied,Crisp Complete Laundry Services,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Narayanavanam,02.Medium,02.Medium,13,15,No,No,Email Open,
169,60098,Email,Referral Sites,No,No,,12,15,12,Email Open,Panama,Mohit Power Loundry,,,,No,No,No,No,No,No,No,No,,,No,No,,Narsapur,01.High,02.Medium,16,16,No,Yes,Email Open,
170,60098,Email,Direct Traffic,No,No,,3,15,1.5,Email Open,Papua new Guinea,Hemant Dry Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Narsingi,02.Medium,01.High,13,17,No,Yes,Email Open,
171,60098,Email,Referral Sites,No,No,,2,15,2,Email Open,Paraguay,Shyamraj Laundry,,,,No,No,No,No,No,No,No,No,,,No,No,,Narsipatnam,02.Medium,02.Medium,14,13,No,No,Email Open,
172,60098,Email,Google,No,No,,5,15,5,Email Open,Peru,Adarsh Power Cleaners,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Naspur,02.Medium,01.High,13,17,No,No,Email Open,
173,60098,Email,Organic Search,No,No,,7,15,7,Email Open,Philippines,International Dyers & Dry Cleaners,,,,No,No,No,No,No,No,No,No,,,No,No,,Nathayyapalem,02.Medium,02.Medium,14,16,No,Yes,Email Open,
174,60098,Email,Google,No,No,,7,15,7,Email Open,Pitcairn Island,Sachin Dry Cleaners,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Nayudupeta,02.Medium,02.Medium,13,15,No,No,Email Open,
175,60146,SMS,Reference,No,No,,0,10,0,SMS Open,Poland,M. Miller & Company,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Nelimaria,02.Medium,01.High,14,20,No,No,SMS Open,
176,60146,SMS,Google,No,No,,1,10,1,SMS Open,Portugal,Quality Art Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Nellore,02.Medium,02.Medium,13,15,No,No,SMS Open,
177,60146,SMS,Direct Traffic,No,No,,2,10,2,SMS Open,Puerto Rico,Archana Cleaners,,,,No,No,No,No,No,No,No,No,,,No,No,,Nidadavole,02.Medium,02.Medium,14,16,No,Yes,SMS Open,
178,60098,Email,Welingak Website,No,No,,,15,,Email Open,Qatar,Datar Cleaning Works,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Nuzvid,02.Medium,01.High,14,18,No,No,Email Open,
179,60098,Email,Reference,No,No,,0,15,0,Email Open,Reunion,Leach Communication Centre & Leach Dry Cleaners,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Omerkhan daira,02.Medium,01.High,14,19,No,No,Email Open,
180,60098,Email,Welingak Website,No,No,,,15,,Email Open,Romania,Arun Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Ongole,02.Medium,02.Medium,14,15,No,No,Email Open,
181,60098,Email,Welingak Website,No,No,,,15,,Email Open,Russia,Shubh Laundry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Osmania University,02.Medium,02.Medium,14,15,No,No,Email Open,
182,60098,Email,Olark Chat,No,No,,0,15,0,Email Open,Rwanda,Sumita Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Pakala,02.Medium,02.Medium,14,15,No,No,Email Open,
183,60149,SMS,Referral Sites,No,No,,4,10,4,SMS Open,Saint Helena,New Lily White,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Palakole,01.High,02.Medium,17,13,No,No,SMS Open,
184,60098,Email,Google,No,No,,1,15,1,Email Open,Saint Kitts And Nevis,Laxmi Cleaners,,,,No,No,No,No,No,No,No,No,,,No,No,,Palakurthi,02.Medium,02.Medium,14,15,No,No,Email Open,
185,60128,SMS,Google,No,No,,2,10,2,SMS Open,Saint Lucia,C,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Palasa,03.Low,02.Medium,11,15,No,No,SMS Open,
186,60098,Email,Organic Search,No,No,,5,15,5,Email Open,Saint Pierre and Miquelon,L S Power Laudry,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Palempalle,02.Medium,02.Medium,15,15,No,No,Email Open,
187,60098,Email,Organic Search,No,No,,8,15,2.67,Email Open,Saint Vincent And The Grenadines,Victoria Dry cleaners & Dyers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Palkonda,02.Medium,02.Medium,14,16,No,No,Email Open,
188,60069,Call,Reference,No,No,,0,30,0,Call Received,Samoa,New Best Cleaners,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Palmaner,02.Medium,01.High,14,20,No,No,Call Received,
189,60069,Call,Organic Search,No,No,,12,30,6,Call Received,San Marino,A To Z Laundry Services,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Pamur,01.High,02.Medium,16,16,No,Yes,Call Received,
190,60098,Email,Organic Search,No,No,,6,15,6,Email Open,Sao Tome and Principe,Anil Laundry Services Pvt Ltd,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,Panjim,02.Medium,02.Medium,15,16,No,No,Email Open,
191,60098,Email,Olark Chat,No,No,,0,15,0,Email Open,Saudi Arabia,Sai Narreshh,,,,No,No,No,No,No,No,No,No,,,No,No,,Papampeta,01.High,02.Medium,17,15,No,No,Email Open,
192,,,Google,,,,12,,1.71,,Senegal,Om Laundry,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,,,,,,,,,,,
193,,,Olark Chat,,,,0,,0,,Serbia,Satya Sai Cleaners,,,,No,No,No,No,No,No,No,No,,,No,,,,,,,,,,,

